106	188
108	214
112	239
119	263
132	285
150	304
172	320
197	332
225	336
253	332
280	320
303	304
322	285
334	263
341	239
345	213
347	186
126	169
141	159
162	157
183	160
203	167
240	167
260	160
282	156
304	159
321	169
222	189
222	205
222	221
222	237
197	249
209	251
222	254
235	252
247	249
150	190
163	186
178	187
192	193
177	195
162	195
254	193
267	186
282	186
296	190
284	195
269	195
180	278
195	272
211	269
222	271
234	269
251	272
267	278
251	289
235	294
222	295
210	294
195	289
187	278
211	277
222	278
235	277
260	278
235	282
222	283
211	281
